GEO_NAME,CHARACTERISTIC_NAME,C1_COUNT_TOTAL,SYMBOL.1,SYMBOL.2,SYMBOL.3,SYMBOL.4,SYMBOL.5
H7W,  Median total income of household in 2020 ($),71000.0,...,...,,...,...
H7X,  Median total income of household in 2020 ($),107000.0,...,...,,...,...
H7Y,  Median total income of household in 2020 ($),129000.0,...,...,,...,...
H8N,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H8P,  Median total income of household in 2020 ($),65000.0,...,...,,...,...
H8R,  Median total income of household in 2020 ($),62000.0,...,...,,...,...
H8S,  Median total income of household in 2020 ($),60400.0,...,...,,...,...
H8T,  Median total income of household in 2020 ($),79000.0,...,...,,...,...
H8Y,  Median total income of household in 2020 ($),75500.0,...,...,,...,...
H8Z,  Median total income of household in 2020 ($),85000.0,...,...,,...,...
H9A,  Median total income of household in 2020 ($),108000.0,...,...,,...,...
H9B,  Median total income of household in 2020 ($),87000.0,...,...,,...,...
H9C,  Median total income of household in 2020 ($),116000.0,...,...,,...,...
H9E,  Median total income of household in 2020 ($),103000.0,...,...,,...,...
H9G,  Median total income of household in 2020 ($),94000.0,...,...,,...,...
H9H,  Median total income of household in 2020 ($),87000.0,...,...,,...,...
H9J,  Median total income of household in 2020 ($),109000.0,...,...,,...,...
H9K,  Median total income of household in 2020 ($),113000.0,...,...,,...,...
H9P,  Median total income of household in 2020 ($),89000.0,...,...,,...,...
H9R,  Median total income of household in 2020 ($),93000.0,...,...,,...,...
H9S,  Median total income of household in 2020 ($),79500.0,...,...,,...,...
H9W,  Median total income of household in 2020 ($),138000.0,...,...,,...,...
H9X,  Median total income of household in 2020 ($),104000.0,...,...,,...,...
